id;name;color;icon
1;tandis que cadre;"#Cea211";afin que bang gigantesque
2;chef reprendre;"#FFDab2";aussitôt que communauté étudiante touriste
3;d'abord;"#85e28B";après que zzzz
4;durant direction appliquer;"#7eE038";hi insipide
5;grâce à présidence;"#134Cac";gens sédentaire ouin
6;oui;"#6098ee";cependant si
7;si bien que gens du moment que;"#fFceBC";au moyen de assez
8;siX;"#EC8e33";demain à peu près
9;remplacer pendant à même;"#Ee9A2a";hé à seule fin de
10;drelin;"#9798Cd";personnel professionnel complètement
