id;title;message;sent_at;type
1;désagréable blablabla spécialiste;../fake-data/blob/hipster.txt;2026-05-12T23:43:27;WARNING
2;derrière raide gestionnaire;../fake-data/blob/hipster.txt;2026-05-13T01:53:34;INFO
3;raide frémir pour que;../fake-data/blob/hipster.txt;2026-05-13T03:59:21;INFO
4;diététiste;../fake-data/blob/hipster.txt;2026-05-13T03:01:55;WARNING
5;broum;../fake-data/blob/hipster.txt;2026-05-13T07:01:46;ERROR
6;illustrer porte-parole;../fake-data/blob/hipster.txt;2026-05-12T13:29:17;ERROR
7;prestataire de services craindre auprès de;../fake-data/blob/hipster.txt;2026-05-12T12:51:35;WARNING
8;après que du fait que;../fake-data/blob/hipster.txt;2026-05-12T16:14:10;INFO
9;chercher guide horrible;../fake-data/blob/hipster.txt;2026-05-12T19:37:43;INFO
10;tellement déchiffrer accentuer;../fake-data/blob/hipster.txt;2026-05-13T02:28:52;INFO
