id;name;description;start_date;created_at
1;juriste;../fake-data/blob/hipster.txt;2026-05-12;2026-05-12T20:45:15
2;conseil municipal pour;../fake-data/blob/hipster.txt;2026-05-13;2026-05-12T17:06:27
3;clientèle;../fake-data/blob/hipster.txt;2026-05-12;2026-05-12T12:17:37
4;habiter;../fake-data/blob/hipster.txt;2026-05-12;2026-05-13T05:44:27
5;vis-à-vie de;../fake-data/blob/hipster.txt;2026-05-13;2026-05-12T19:34:38
6;autant;../fake-data/blob/hipster.txt;2026-05-13;2026-05-13T05:47:17
7;près de ça en decà de;../fake-data/blob/hipster.txt;2026-05-13;2026-05-12T21:26:11
8;âcre ensuite;../fake-data/blob/hipster.txt;2026-05-13;2026-05-12T11:27:38
9;ouch ouah;../fake-data/blob/hipster.txt;2026-05-13;2026-05-12T17:02:43
10;partenaire rouler;../fake-data/blob/hipster.txt;2026-05-12;2026-05-12T08:47:29
