id;title;description;priority;status;due_date;created_at
1;près équipe ah;../fake-data/blob/hipster.txt;MEDIUM;DONE;2026-05-13;2026-05-13T06:19:56
2;via;../fake-data/blob/hipster.txt;LOW;TODO;2026-05-12;2026-05-13T05:05:13
3;toc outre;../fake-data/blob/hipster.txt;MEDIUM;DONE;2026-05-13;2026-05-12T18:17:58
4;longtemps groin groin bien que;../fake-data/blob/hipster.txt;URGENT;TODO;2026-05-12;2026-05-12T11:45:00
5;verger altruiste à la faveur de;../fake-data/blob/hipster.txt;HIGH;DONE;2026-05-12;2026-05-12T11:40:47
6;assassiner;../fake-data/blob/hipster.txt;LOW;TODO;2026-05-13;2026-05-13T07:11:57
7;boum glisser malade;../fake-data/blob/hipster.txt;LOW;BLOCKED;2026-05-13;2026-05-13T05:38:22
8;tard près de oh;../fake-data/blob/hipster.txt;URGENT;TODO;2026-05-12;2026-05-12T17:53:24
9;afin de diplomate sauvage;../fake-data/blob/hipster.txt;HIGH;TODO;2026-05-13;2026-05-12T09:48:42
10;cocorico éveiller lors de;../fake-data/blob/hipster.txt;URGENT;IN_PROGRESS;2026-05-12;2026-05-13T01:01:54
